Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/8/16 12:52,Games,5,2,Sunnyvale
7/9/16 15:22,Apps,5,3,Sunnyvale
7/8/16 21:26,Games,4,3,Sunnyvale
7/8/16 13:52,Apps,4,3,Sunnyvale
7/8/16 14:00,Apps,4,4,Sunnyvale
7/8/16 14:42,Apps,5,3,Sunnyvale
7/8/16 14:03,Apps,4,4,Sunnyvale
7/8/16 16:40,Apps,3,4,Sunnyvale
7/8/16 13:58,Apps,4,4,Sunnyvale
7/8/16 13:53,Apps,3,4,Sunnyvale
7/8/16 15:59,Apps,3,2,Sunnyvale
7/8/16 16:11,Apps,5,4,Sunnyvale
7/8/16 12:49,Games,5,5,Sunnyvale
7/8/16 12:49,Games,4,3,Sunnyvale
7/8/16 12:47,Games,5,3,Sunnyvale
7/8/16 12:43,Intro,5,3,Sunnyvale
7/8/16 13:55,Apps,4,3,Sunnyvale
7/8/16 14:02,Games,5,3,Sunnyvale
7/8/16 14:29,Games,5,3,Sunnyvale
7/9/16 17:05,Games,5,2,Sunnyvale
7/8/16 16:55,Apps,3,3,Sunnyvale
7/8/16 16:08,Games,3,3,Sunnyvale
7/8/16 13:56,Apps,4,3,Sunnyvale
7/8/16 14:03,Apps,4,2,Sunnyvale
7/8/16 13:51,Games,4,5,Sunnyvale
7/8/16 12:41,Intro,4,4,Sunnyvale
7/8/16 12:41,Intro,4,4,Sunnyvale
7/8/16 12:41,Intro,4,3,Sunnyvale
7/8/16 12:43,Intro,4,3,Sunnyvale
7/8/16 12:45,Intro,4,3,Sunnyvale
7/8/16 12:47,Intro,4,3,Sunnyvale
7/8/16 13:01,Intro,4,4,Sunnyvale
7/10/16 23:44,Games,4,4,Sunnyvale
,Average:,#REF!,#REF!,Sunnyvale
7/8/16 16:41,Apps,5,3,Sunnyvale
7/8/16 13:07,Games,5,3,Sunnyvale
7/8/16 12:45,Intro,5,3,Sunnyvale
