Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/22/16 16:15,Games,3,2,Los Angeles
7/22/16 16:16,Intro,4,3,Los Angeles
7/22/16 16:16,Intro,5,3,Los Angeles
7/22/16 16:17,Games,4,3,Los Angeles
7/22/16 16:17,Intro,4,3,Los Angeles
7/22/16 16:18,Games,4,3,Los Angeles
7/22/16 16:18,Intro,5,3,Los Angeles
7/22/16 16:19,Games,4,4,Los Angeles
7/22/16 16:20,Games,5,4,Los Angeles
7/22/16 16:20,Intro,5,3,Los Angeles
7/22/16 16:23,Games,4,3,Los Angeles
7/22/16 16:23,Games,4,3,Los Angeles
