What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,8/5/16 11:13,5,5,San Francisco
Apps,8/5/16 11:17,3,3,San Francisco
Apps,8/5/16 11:17,5,3,San Francisco
Apps,8/5/16 11:18,5,4,San Francisco
Apps,8/5/16 11:20,4,3,San Francisco
Apps,8/5/16 11:21,5,3,San Francisco
Apps,8/5/16 12:11,5,3,San Francisco
Apps,8/5/16 19:14,4,4,San Francisco
Games,8/5/16 11:39,5,3,San Francisco
Games,8/5/16 12:27,5,4,San Francisco
Intro,8/5/16 11:20,4,3,San Francisco
Intro,8/5/16 11:38,4,4,San Francisco
Intro,8/5/16 11:56,5,3,San Francisco
Intro,8/5/16 12:35,5,3,San Francisco
Intro,8/7/16 10:45,4,5,San Francisco
VR,8/5/16 11:21,5,3,San Francisco
VR,8/8/16 8:35,1,3,San Francisco
VR,8/8/16 8:39,3,5,San Francisco
VR,8/8/16 9:41,2,2,San Francisco
