Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/1/16 6:41,Apps,3,2,New York
7/1/16 9:27,Apps,3,4,New York
7/1/16 6:46,Games,3,5,New York
7/1/16 6:47,Games,3,3,New York
7/1/16 6:33,Apps,4,3,New York
7/1/16 6:35,Apps,4,4,New York
7/1/16 6:36,Apps,4,3,New York
7/1/16 6:41,Apps,4,3,New York
7/1/16 7:00,Apps,4,2,New York
7/1/16 8:58,Apps,4,4,New York
7/1/16 10:32,Apps,4,3,New York
7/1/16 6:30,Games,4,4,New York
7/1/16 6:43,Games,4,4,New York
7/1/16 7:02,Games,4,4,New York
7/1/16 6:27,Intro,4,3,New York
7/1/16 6:31,Intro,4,3,New York
7/1/16 6:31,Intro,4,4,New York
7/1/16 6:46,Intro,4,3,New York
7/1/16 6:27,Apps,5,3,New York
7/1/16 6:30,Apps,5,3,New York
7/1/16 6:30,Apps,5,3,New York
7/1/16 6:33,Apps,5,4,New York
7/1/16 6:36,Apps,5,3,New York
7/1/16 6:41,Apps,5,4,New York
7/1/16 6:27,Games,5,4,New York
7/1/16 6:31,Intro,5,3,New York
7/1/16 6:31,Intro,5,3,New York
7/1/16 6:36,Intro,5,3,New York
