What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,7/8/16 15:56,3,2,San Francisco
Apps,7/8/16 16:02,5,3,San Francisco
Apps,7/8/16 16:19,3,3,San Francisco
Apps,7/8/16 16:34,1,3,San Francisco
Apps,7/8/16 16:39,5,2,San Francisco
Apps,7/8/16 16:46,5,5,San Francisco
Apps,7/8/16 17:33,3,5,San Francisco
Apps,7/9/16 14:23,5,3,San Francisco
Apps,7/10/16 20:55,5,3,San Francisco
Games,7/8/16 15:58,5,3,San Francisco
Games,7/8/16 16:08,5,4,San Francisco
Intro,7/8/16 15:55,5,3,San Francisco
Intro,7/8/16 15:56,4,3,San Francisco
Intro,7/8/16 15:58,4,3,San Francisco
Intro,7/8/16 16:40,4,4,San Francisco
Intro,7/8/16 18:34,5,3,San Francisco
Intro,7/9/16 8:14,5,3,San Francisco
VR,7/8/16 16:23,5,3,San Francisco
VR,7/8/16 16:27,4,4,San Francisco
VR,7/8/16 17:18,1,5,San Francisco
VR,7/8/16 19:14,4,4,San Francisco
Intro,7/11/16 12:10,3,4,San Francisco
Intro,7/11/16 12:39,4,4,San Francisco
