Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/8/16 6:21,Apps,4,3,New York
7/8/16 6:21,Apps,5,3,New York
7/8/16 6:21,Intro,4,3,New York
7/8/16 6:21,Apps,5,3,New York
7/8/16 6:22,Apps,4,2,New York
7/8/16 6:22,Games,4,4,New York
7/8/16 6:22,Intro,4,4,New York
7/8/16 6:23,Apps,5,3,New York
7/8/16 6:23,Games,4,4,New York
7/8/16 6:23,Intro,4,4,New York
7/8/16 6:23,Games,4,4,New York
7/8/16 6:24,Apps,4,4,New York
7/8/16 6:26,Apps,4,3,New York
7/8/16 6:26,Games,4,3,New York
7/8/16 6:26,Apps,5,4,New York
7/8/16 6:26,Apps,4,3,New York
7/8/16 6:27,Games,4,4,New York
7/8/16 6:27,Games,5,4,New York
7/8/16 6:27,Intro,4,4,New York
7/8/16 6:27,Apps,4,4,New York
7/8/16 6:28,Games,5,3,New York
7/8/16 6:28,Intro,3,4,New York
7/8/16 6:29,Apps,5,3,New York
7/8/16 6:33,Apps,5,3,New York
7/8/16 6:36,Intro,4,4,New York
7/8/16 6:36,Games,5,3,New York
7/8/16 6:38,Games,5,3,New York
7/8/16 12:14,Apps,4,3,New York
