Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
8/5/16 12:34,Apps,3,3,New York
8/5/16 12:35,Apps,5,3,New York
8/5/16 12:36,Games,5,3,New York
8/5/16 12:36,Games,4,3,New York
8/5/16 12:37,Apps,4,3,New York
8/5/16 12:37,Intro,4,4,New York
8/5/16 12:39,Apps,5,3,New York
8/5/16 12:39,Games,5,4,New York
8/5/16 12:43,Games,4,3,New York
8/5/16 12:43,Apps,4,3,New York
8/5/16 12:45,Intro,5,3,New York
8/5/16 12:45,Games,3,3,New York
8/5/16 12:46,Games,5,4,New York
8/5/16 13:04,Apps,4,3,New York
8/5/16 13:13,Intro,4,3,New York
8/5/16 13:37,Apps,4,3,New York
8/5/16 13:39,Intro,5,4,New York
