Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/15/16 6:28,Apps,5,3,New York
7/15/16 6:29,Apps,5,3,New York
7/15/16 6:30,Apps,4,3,New York
7/15/16 6:30,Apps,4,3,New York
7/15/16 6:31,Games,4,4,New York
7/15/16 6:31,Intro,4,4,New York
7/15/16 6:32,Apps,4,4,New York
7/15/16 6:36,Apps,5,3,New York
7/15/16 6:37,Apps,4,5,New York
7/15/16 6:57,Apps,5,3,New York
7/15/16 7:03,Apps,4,4,New York
7/15/16 7:30,Games,4,4,New York
7/15/16 7:37,Apps,5,3,New York
7/15/16 7:47,Games,4,3,New York
7/15/16 10:11,Apps,4,3,New York
7/15/16 10:18,Apps,4,3,New York
