What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,7/15/16 15:26,5,3,San Francisco
Apps,7/15/16 15:31,4,3,San Francisco
Apps,7/15/16 15:32,4,4,San Francisco
Apps,7/15/16 16:18,3,4,San Francisco
Apps,7/15/16 16:19,4,4,San Francisco
Apps,7/15/16 16:21,3,4,San Francisco
Apps,7/15/16 17:34,4,3,San Francisco
Apps,7/15/16 20:20,5,3,San Francisco
Apps,7/15/16 20:39,4,3,San Francisco
Apps,7/16/16 12:46,4,3,San Francisco
Apps,7/17/16 16:27,5,2,San Francisco
Games,7/15/16 15:30,4,3,San Francisco
Games,7/15/16 15:54,4,3,San Francisco
Games,7/15/16 19:08,5,4,San Francisco
Games,7/16/16 9:18,5,5,San Francisco
Games,7/17/16 17:05,5,3,San Francisco
Intro,7/14/16 14:05,5,4,San Francisco
Intro,7/14/16 14:06,3,4,San Francisco
Intro,7/14/16 15:04,4,4,San Francisco
Intro,7/14/16 15:47,3,5,San Francisco
Intro,7/15/16 15:15,4,4,San Francisco
Intro,7/15/16 16:03,4,3,San Francisco
Intro,7/15/16 16:05,3,3,San Francisco
Intro,7/15/16 16:20,4,3,San Francisco
Intro,7/16/16 13:12,5,3,San Francisco
Intro,7/17/16 21:45,4,4,San Francisco
Intro,7/19/16 11:46,5,3,San Francisco
VR,7/15/16 17:02,5,3,San Francisco
VR,7/16/16 18:46,4,3,San Francisco
VR,7/18/16 8:27,3,4,San Francisco
VR,7/18/16 8:35,3,4,San Francisco
