Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
7/1/16 13:27,Apps,3,4,Sunnyvale
7/1/16 13:29,Apps,3,5,Sunnyvale
7/1/16 13:29,Apps,3,3,Sunnyvale
7/1/16 13:30,Apps,3,4,Sunnyvale
7/1/16 13:34,Apps,3,3,Sunnyvale
7/1/16 13:35,Apps,3,3,Sunnyvale
7/1/16 16:35,Apps,3,3,Sunnyvale
7/1/16 17:01,Apps,3,4,Sunnyvale
7/2/16 9:50,Apps,3,3,Sunnyvale
7/1/16 10:36,Games,3,3,Sunnyvale
7/1/16 10:41,Games,3,5,Sunnyvale
7/1/16 10:47,Games,3,3,Sunnyvale
7/1/16 10:56,Games,3,3,Sunnyvale
7/4/16 23:02,Intro,3,4,Sunnyvale
7/1/16 13:27,Apps,4,3,Sunnyvale
7/1/16 13:28,Apps,4,3,Sunnyvale
7/1/16 13:29,Apps,4,3,Sunnyvale
7/1/16 13:29,Apps,4,4,Sunnyvale
7/1/16 13:30,Apps,4,4,Sunnyvale
7/1/16 13:30,Apps,4,3,Sunnyvale
7/1/16 13:31,Apps,4,4,Sunnyvale
7/1/16 13:39,Apps,4,3,Sunnyvale
7/1/16 13:41,Apps,4,4,Sunnyvale
7/1/16 13:49,Apps,4,3,Sunnyvale
7/1/16 15:59,Apps,4,3,Sunnyvale
7/1/16 15:59,Apps,4,3,Sunnyvale
7/1/16 16:02,Apps,4,3,Sunnyvale
7/1/16 16:30,Apps,4,4,Sunnyvale
7/1/16 16:32,Apps,4,4,Sunnyvale
7/1/16 17:51,Apps,4,4,Sunnyvale
7/1/16 9:46,Games,4,4,Sunnyvale
7/1/16 9:47,Games,4,2,Sunnyvale
7/1/16 10:41,Games,4,3,Sunnyvale
7/1/16 10:41,Games,4,2,Sunnyvale
7/1/16 10:45,Games,4,3,Sunnyvale
7/1/16 13:12,Intro,4,3,Sunnyvale
7/1/16 13:19,Intro,4,3,Sunnyvale
7/1/16 13:25,Intro,4,3,Sunnyvale
7/1/16 13:28,Intro,4,4,Sunnyvale
7/1/16 13:29,Intro,4,4,Sunnyvale
7/1/16 13:33,Intro,4,3,Sunnyvale
7/1/16 13:33,Intro,4,3,Sunnyvale
7/1/16 13:29,Apps,5,3,Sunnyvale
7/1/16 13:30,Apps,5,3,Sunnyvale
7/1/16 13:32,Apps,5,4,Sunnyvale
7/1/16 16:01,Apps,5,3,Sunnyvale
7/1/16 16:02,Apps,5,4,Sunnyvale
7/1/16 16:04,Apps,5,3,Sunnyvale
7/1/16 16:44,Apps,5,3,Sunnyvale
7/1/16 9:41,Games,5,4,Sunnyvale
7/1/16 10:43,Games,5,2,Sunnyvale
7/1/16 10:47,Games,5,3,Sunnyvale
7/1/16 10:47,Games,5,4,Sunnyvale
7/1/16 13:25,Intro,5,2,Sunnyvale
7/1/16 13:26,Intro,5,5,Sunnyvale
7/1/16 13:28,Intro,5,2,Sunnyvale
