What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?,location
Apps,7/29/16 15:17,4,3,San Francisco
Apps,7/29/16 16:21,3,4,San Francisco
Apps,7/29/16 16:22,2,3,San Francisco
Apps,7/29/16 16:54,4,3,San Francisco
Apps,7/29/16 22:40,3,4,San Francisco
Apps,7/31/16 23:10,5,3,San Francisco
Apps,7/30/16 11:06,1,3,San Francisco
Apps,7/29/16 15:23,3,3,San Francisco
Apps,7/29/16 15:29,5,3,San Francisco
Apps,7/29/16 15:34,4,3,San Francisco
Apps,7/29/16 15:25,5,3,San Francisco
Games,7/29/16 15:17,5,3,San Francisco
Games,7/29/16 15:14,5,3,San Francisco
Games,7/29/16 15:13,4,3,San Francisco
Games,7/29/16 17:07,5,4,San Francisco
Games,7/29/16 15:50,5,4,San Francisco
Games,7/29/16 15:36,3,4,San Francisco
Intro,7/29/16 18:46,5,3,San Francisco
Intro,7/29/16 16:09,5,3,San Francisco
Intro,7/29/16 15:00,3,4,San Francisco
Intro,7/29/16 15:02,5,3,San Francisco
Intro,7/29/16 15:09,5,3,San Francisco
VR,7/30/16 9:00,4,3,San Francisco
VR,7/29/16 21:45,4,4,San Francisco
VR,7/30/16 13:09,4,3,San Francisco
